transaction_id,transaction_type,amount,customer_age,customer_gender,account_balance,device_type,location,merchant_category,transaction_time,international_transaction,fraud
1000,Transfer,2598.57,35,Male,115489.32,Mobile,Chennai,Electronics,18,No,1
1001,Transfer,21941.93,50,Male,282816.31,Desktop,Mumbai,Travel,18,No,0
1002,Transfer,75904.86,28,Female,173424.01,Mobile,Mumbai,Fashion,3,Yes,1
1003,Withdrawal,84764.69,56,Female,404528.5,Desktop,Chennai,Electronics,12,Yes,1
1004,Withdrawal,57777.48,63,Male,27683.07,Mobile,Kolkata,Electronics,7,Yes,1
1005,Deposit,63604.88,41,Male,188239.58,Mobile,Kolkata,Electronics,19,Yes,1
1006,Payment,16423.91,42,Female,494814.06,Mobile,Kolkata,Electronics,7,Yes,0
1007,Deposit,26847.31,31,Female,110250.14,Desktop,Bangalore,Travel,4,No,0
1008,Withdrawal,74726.68,45,Female,184188.24,Mobile,Chennai,Travel,2,Yes,0
1009,Payment,62781.86,68,Female,300222.47,Desktop,Bangalore,Food,14,No,0
1010,Transfer,68060.31,25,Female,385456.37,Desktop,Delhi,Fashion,13,Yes,1
1011,Withdrawal,97191.62,66,Male,256302.43,Mobile,Kolkata,Food,19,Yes,1
1012,Payment,53983.97,67,Male,301477.57,Desktop,Delhi,Electronics,11,No,1
1013,Payment,87813.16,23,Male,367294.26,Mobile,Chennai,Grocery,4,No,0
1014,Payment,26579.16,56,Female,482359.64,Mobile,Kolkata,Travel,21,No,0
1015,Deposit,12188.32,32,Male,172352.35,Mobile,Chennai,Grocery,0,Yes,0
1016,Transfer,22971.28,20,Female,40074.39,Mobile,Kolkata,Travel,6,Yes,0
1017,Deposit,24375.42,48,Female,99252.91,Mobile,Bangalore,Fashion,13,No,0
1018,Transfer,67369.12,59,Male,35003.27,Desktop,Delhi,Grocery,6,Yes,1
1019,Payment,42245.98,35,Female,128654.19,Mobile,Bangalore,Food,3,Yes,0
1020,Transfer,96902.73,66,Male,87324.0,Desktop,Bangalore,Grocery,12,Yes,1
1021,Transfer,98532.35,34,Female,146198.37,Desktop,Mumbai,Grocery,9,Yes,0
1022,Transfer,74822.76,21,Male,294167.91,Mobile,Delhi,Food,2,Yes,1
1023,Transfer,67553.73,33,Female,64343.87,Mobile,Chennai,Food,1,Yes,1
1024,Withdrawal,93477.16,31,Female,123149.55,Desktop,Mumbai,Fashion,14,No,0
1025,Transfer,1030.61,57,Male,41264.06,Mobile,Chennai,Fashion,4,No,0
1026,Payment,37015.76,28,Female,417703.75,Desktop,Chennai,Food,0,No,0
